번1동,"119,359","175,194",316,71,"118,682","172,125",311,41,"112,644","160,479",311,41
번2동,"33,539","52,818",177,21,"35,476","57,067",171,14,"35,826","59,331",171,14
번3동,"27,675","60,720",176,14,"29,975","65,007",170,12,"27,605","60,969",170,12
수유1동,"36,664","55,235",127,18,"35,392","52,527",124,11,"34,488","51,388",124,11
수유2동,"113,585","179,245",377,36,"112,429","181,451",372,38,"101,235","165,208",372,38
수유3동,"123,070","202,479",330,70,"126,896","209,248",323,47,"117,967","189,864",323,47
우이동,"3,471","6,980",20,2,"3,494","7,244",20,3,"3,561","7,296",20,3
인수동,"29,947","50,516",113,12,"30,788","51,688",113,15,"30,192","49,909",113,15
도봉구,"31,315","65,089",162,19,"30,719","63,502",160,17,"30,224","61,975",160,17
창1동,"46,587","98,469",241,16,"48,278","105,933",237,16,"41,799","91,609",237,16
창2동,"126,266","211,143",473,35,"128,104","210,451",463,38,"143,206","233,401",463,38
창3동,"58,911","95,791",237,15,"67,825","106,193",231,12,"56,883","87,874",231,12
창4동,"36,504","121,006",246,34,"28,701","99,457",241,24,"30,634","106,139",241,24
창5동,"80,802","178,795",384,78,"70,641","164,380",375,105,"62,606","145,283",375,105
도봉1동,"3,807","8,186",27,4,"3,848","8,408",26,3,"4,034","8,838",26,3
도봉2동,"24,446","76,182",237,43,"22,302","71,747",237,18,"24,386","74,979",237,18
쌍문1동,"37,105","76,564",185,21,"36,297","71,843",188,15,"34,477","68,681",188,15
쌍문2동,"95,974","174,748",378,58,"102,083","183,418",369,27,"96,949","173,546",369,27
쌍문3동,"96,329","156,336",340,45,"102,369","157,809",338,40,"102,568","156,064",338,40
쌍문4동,"57,742","126,468",363,23,"56,610","124,128",364,25,"55,493","122,213",364,25
방학1동,"63,919","116,888",291,52,"62,785","111,900",285,63,"63,071","111,035",285,63
방학2동,"40,990","62,626",195,12,"32,449","54,435",190,9,"34,769","57,730",190,9
방학3동,"18,627","55,116",157,10,"20,130","58,496",155,16,"17,744","51,235",155,16
노원구,"26,725","66,029",153,20,"27,407","67,435",150,16,"26,530","65,285",150,16
월계1동,"49,525","108,743",211,22,"51,249","108,268",212,24,"46,960","101,003",212,24
월계2동,"17,545","41,325",139,11,"17,751","42,476",130,6,"16,814","41,159",130,6
월계3동,"16,170","82,110",259,16,"17,313","87,341",255,12,"17,681","88,325",255,12
공릉1동,"91,164","170,317",316,82,"95,532","178,042",316,52,"92,402","172,015",316,52
