상계1동,"78,658","101,493","48,436","82,042","109,349","52,194","86,693","114,358","55,338"
상계2동,"96,370","129,713","52,170","134,304","171,658","78,272","127,077","155,365","84,316"
상계3.4동,"74,679","88,881","45,326","58,437","71,083","33,935","79,853","83,046","72,150"
상계5동,"70,057","77,150","59,813","72,136","99,386","35,075","72,304","92,860","39,848"
상계6.7동,"101,878","153,233","55,929","95,819","142,408","68,643","106,592","149,356","72,779"
상계8동,"87,748","115,457","41,565","96,278","159,196","42,349",,"168,382",
상계9동,"93,771","155,410","45,830","65,734","96,069","55,622","128,699","200,272","66,072"
상계10동,,"72,979",,,,,,,"165,121"
은평구,"79,164","98,692","45,614","87,165","97,677","65,970","86,558","100,619","57,852"
녹번동,"74,602","92,584","35,467","90,820","111,278","68,726","78,701","92,961","54,143"
불광1동,"79,231","97,228","41,953","86,368","99,457","51,464","105,115","120,516","67,126"
불광2동,"94,134","122,509","50,154","101,006","116,924","69,169","87,711","108,567","56,011"
갈현1동,"73,951","99,067","42,773","99,078","100,450","96,992","85,768","107,345","51,744"
갈현2동,"71,271","90,464","41,916","90,426","115,572","39,040","87,996","110,795","38,751"
구산동,"67,637","91,571","31,737","74,618","83,371","50,109","63,738","76,072","34,136"
대조동,"91,311","113,891","53,051","95,988","106,714","74,893","90,976","96,907","75,449"
응암1동,"67,576","88,814","41,028","85,497","106,325","44,999","78,479","123,237","37,917"
응암2동,"101,630","123,167","80,094",,"78,685",,"67,763","89,453","39,876"
응암3동,"78,633","97,903","30,458","85,404","93,655","60,164","84,780","97,392","47,608"
역촌동,"81,719","96,642","46,897","69,291","82,271","44,674","81,826","91,046","55,484"
신사1동,"67,288","84,687","41,858","73,698","77,343","63,169","91,326","105,503","54,871"
신사2동,"51,824","64,266","31,606","85,839","63,006","126,937","65,681","83,365","28,347"
증산동,"63,476","71,387","53,305","79,516","90,178","53,929","65,459","68,892","56,410"
수색동,,"68,185",,,"62,441",,,"81,075",
진관동,"116,793","132,291","84,077","111,248","111,385","111,092","124,348","132,925","114,055"
서대문구,"94,632","117,209","59,699","95,589","118,866","61,874","111,067","133,053","71,831"
천연동,"75,537","85,783","56,508","80,708","95,848","47,401","111,464","130,270","91,212"
북아현동,"90,827","131,423","39,161","81,086","86,325","68,644","163,289","182,849","114,390"
충현동,"91,935","113,885","52,656","91,088","106,178","66,566","94,306","108,950","65,994"
신촌동,"139,805","195,985","69,782","128,150","179,659","80,236","150,202","203,177","85,533"
연희동,"89,539","105,939","74,338","82,434","96,140","63,588","87,479","99,908","67,281"
홍제1동,"91,213","105,239","72,087","81,133","92,621","66,943","105,152","128,443","63,561"
홍제3동,"73,171","94,184","41,652","62,597","85,122","33,033","87,829","105,153","38,332"
홍제2동,"98,300","123,260","65,853","107,071","149,384","59,469","110,287","126,588","72,251"
홍은1동,"61,527","69,683","47,096","52,846","56,791","47,585","104,845","111,750","85,511"
홍은2동,"68,190","94,313","40,325","65,871","86,412","33,005","58,051","72,582","42,889"
남가좌1동,,"143,935",,,"169,731",,"180,369","208,061","92,676"
남가좌2동,"69,051","77,550","32,739","92,341","113,053","39,872","95,830","99,440","84,518"
북가좌1동,"95,496","95,141","96,088",,"86,776",,"70,750","88,982","48,871"
북가좌2동,"61,594","73,780","32,956","74,385","95,318","42,986","90,960","109,813","38,442"
마포구,"108,640","139,168","79,669","115,053","139,148","91,394","129,106","151,461","110,716"
아현동,"126,111","153,920","91,349","147,720","180,031","94,729","155,584","185,246","123,580"
공덕동,"89,129","95,971","84,378","87,382","104,575","73,729","91,392","109,827","77,566"
도화동,"108,687","153,545","68,429","130,690","176,668","81,540","142,867","179,920","116,930"
용강동,"105,297","147,724","86,689","132,031","145,243","124,276","118,640","168,489","97,380"
대흥동,"147,216","189,124","82,258","112,879","134,470","83,437","143,358","151,072","133,775"
염리동,"101,286","96,581","105,991","81,368","105,398","48,600","135,960","127,690","145,781"
신수동,"66,334","73,226","55,994","76,472","85,863","61,342","114,023","141,567","69,951"
서강동,"121,123","140,500","93,059","115,885","137,029","100,026","134,314","157,048","112,613"
서교동,"115,435","161,734","84,923","126,234","161,774","102,541","149,183","181,586","128,110"
합정동,"92,462","126,371","59,424","91,278","110,400","74,763","122,350","139,836","104,556"
망원1동,"110,504","136,342","60,896","94,691","105,116","69,373","113,829","136,836","79,319"
망원2동,"95,064","112,102","60,175","108,242","123,126","63,589","97,639","103,709","85,715"
연남동,"82,498","90,022","71,554","108,557","117,534","95,766","116,347","123,462","112,580"
성산1동,"73,640","85,827","57,235","69,086","92,132","50,107","82,790","110,450","60,364"
성산2동,"120,074","182,732","54,433","99,446","111,204","81,498","108,517","129,281","86,741"
상암동,"136,817","184,038","100,221","149,725","206,776","93,862","134,475","162,006","116,246"
양천구,"89,925","112,903","54,268","84,737","103,826","63,164","94,361","112,082","68,482"
목1동,"130,930","203,297","78,464","123,474","160,031","105,569","120,111","165,301","92,495"
목2동,"84,606","100,781","49,769","104,502","126,965","68,765","113,044","152,207","68,287"
목3동,"85,315","104,432","58,552","72,631","75,610","70,272","98,995","118,485","55,430"
목4동,"94,993","108,666","47,593","76,717","92,502","47,006","78,516","92,614","50,321"
목5동,"147,615","192,532","85,121","121,836","167,566","88,300","112,775","194,514","79,638"
신월1동,"58,781","76,759","25,071","72,597","92,220","24,432","80,408","92,895","36,703"
신월2동,"60,657","70,164","40,586","60,624","76,126","34,788","64,421","74,017","44,270"
신월3동,"53,714","64,182","39,320","81,205","93,487","58,005","93,885","84,520","113,955"
